session,rc,result,failure,slac_matched,hlc_ready,cp_phase,current_demand_ready_since,summary_file,runner_file,plc_log,can_log,reset_log
01,0,pass,,False,False,C,1774017913.6202297,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session01_summary.json,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session01_runner.out,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session01.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session01_can.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session01_reset.log
02,0,pass,,False,False,B,1774018102.982013,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session02_summary.json,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session02_runner.out,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session02.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session02_can.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session02_reset.log
03,0,pass,,False,False,B,1774018293.0916724,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session03_summary.json,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session03_runner.out,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session03.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session03_can.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session03_reset.log
04,0,pass,,False,False,C,1774018482.796597,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session04_summary.json,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session04_runner.out,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session04.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session04_can.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session04_reset.log
05,0,pass,,False,False,C,1774018672.3581007,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session05_summary.json,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session05_runner.out,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session05.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session05_can.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session05_reset.log
06,0,pass,,False,False,B1,1774018861.7097821,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session06_summary.json,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session06_runner.out,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session06.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session06_can.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session06_reset.log
07,0,pass,,False,False,B,1774019051.8453112,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session07_summary.json,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session07_runner.out,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session07.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session07_can.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session07_reset.log
08,0,pass,,False,False,B,1774019241.3118923,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session08_summary.json,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session08_runner.out,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session08.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session08_can.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session08_reset.log
09,0,pass,,True,True,B,1774019430.8205948,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session09_summary.json,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session09_runner.out,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session09.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session09_can.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session09_reset.log
10,0,pass,,False,False,B,1774019620.4352653,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session10_summary.json,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session10_runner.out,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session10.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session10_can.log,logs/controller_plc1_module1_10x2min_gap30_20260320_201441_session10_reset.log
