session,rc,result,failure,slac_matched,hlc_ready,cp_phase,current_demand_ready_since,summary_file,runner_file,plc_log,can_log,reset_log
01,1,fail,session never reached sustained CurrentDemand,False,True,B2,,logs/controller_plc2_module2_slacbatch_20260323_000541_session01_summary.json,logs/controller_plc2_module2_slacbatch_20260323_000541_session01_runner.out,logs/controller_plc2_module2_slacbatch_20260323_000541_session01.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session01_can.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session01_reset.log
02,1,fail,session never reached sustained CurrentDemand,False,True,B2,,logs/controller_plc2_module2_slacbatch_20260323_000541_session02_summary.json,logs/controller_plc2_module2_slacbatch_20260323_000541_session02_runner.out,logs/controller_plc2_module2_slacbatch_20260323_000541_session02.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session02_can.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session02_reset.log
03,1,fail,session never reached sustained CurrentDemand,False,False,B2,,logs/controller_plc2_module2_slacbatch_20260323_000541_session03_summary.json,logs/controller_plc2_module2_slacbatch_20260323_000541_session03_runner.out,logs/controller_plc2_module2_slacbatch_20260323_000541_session03.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session03_can.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session03_reset.log
04,1,fail,session never reached sustained CurrentDemand,False,True,B2,,logs/controller_plc2_module2_slacbatch_20260323_000541_session04_summary.json,logs/controller_plc2_module2_slacbatch_20260323_000541_session04_runner.out,logs/controller_plc2_module2_slacbatch_20260323_000541_session04.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session04_can.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session04_reset.log
05,1,fail,session never reached sustained CurrentDemand,False,False,B2,,logs/controller_plc2_module2_slacbatch_20260323_000541_session05_summary.json,logs/controller_plc2_module2_slacbatch_20260323_000541_session05_runner.out,logs/controller_plc2_module2_slacbatch_20260323_000541_session05.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session05_can.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session05_reset.log
06,1,fail,session never reached sustained CurrentDemand,False,True,B2,,logs/controller_plc2_module2_slacbatch_20260323_000541_session06_summary.json,logs/controller_plc2_module2_slacbatch_20260323_000541_session06_runner.out,logs/controller_plc2_module2_slacbatch_20260323_000541_session06.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session06_can.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session06_reset.log
07,1,fail,session never reached sustained CurrentDemand,False,False,B2,,logs/controller_plc2_module2_slacbatch_20260323_000541_session07_summary.json,logs/controller_plc2_module2_slacbatch_20260323_000541_session07_runner.out,logs/controller_plc2_module2_slacbatch_20260323_000541_session07.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session07_can.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session07_reset.log
08,1,fail,session never reached sustained CurrentDemand,False,True,B2,,logs/controller_plc2_module2_slacbatch_20260323_000541_session08_summary.json,logs/controller_plc2_module2_slacbatch_20260323_000541_session08_runner.out,logs/controller_plc2_module2_slacbatch_20260323_000541_session08.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session08_can.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session08_reset.log
09,1,fail,session never reached sustained CurrentDemand,False,True,B2,,logs/controller_plc2_module2_slacbatch_20260323_000541_session09_summary.json,logs/controller_plc2_module2_slacbatch_20260323_000541_session09_runner.out,logs/controller_plc2_module2_slacbatch_20260323_000541_session09.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session09_can.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session09_reset.log
10,1,fail,session never reached sustained CurrentDemand,False,True,B2,,logs/controller_plc2_module2_slacbatch_20260323_000541_session10_summary.json,logs/controller_plc2_module2_slacbatch_20260323_000541_session10_runner.out,logs/controller_plc2_module2_slacbatch_20260323_000541_session10.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session10_can.log,logs/controller_plc2_module2_slacbatch_20260323_000541_session10_reset.log
