session,rc,result,failure,slac_matched,hlc_ready,cp_phase,current_demand_ready_since,summary_file,runner_file,plc_log,can_log,reset_log
01,0,pass,,False,False,B,1773611720.3061843,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session01_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session01_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session01.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session01_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session01_reset.log
02,0,pass,,False,False,B,1773611939.7740235,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session02_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session02_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session02.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session02_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session02_reset.log
03,0,pass,,True,True,B,1773612158.777874,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session03_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session03_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session03.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session03_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session03_reset.log
04,0,pass,,False,False,B,1773612377.6603081,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session04_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session04_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session04.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session04_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session04_reset.log
05,0,pass,,False,False,B1,1773612596.134092,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session05_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session05_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session05.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session05_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session05_reset.log
06,0,pass,,True,True,B,1773612815.2104197,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session06_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session06_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session06.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session06_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session06_reset.log
07,1,fail,timeout waiting for ack 0x1A,True,True,C,1773613033.5744715,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session07_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session07_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session07.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session07_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session07_reset.log
08,0,pass,,True,True,B,1773613253.7453198,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session08_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session08_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session08.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session08_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session08_reset.log
09,0,pass,,False,False,B1,1773613472.9636073,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session09_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session09_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session09.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session09_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session09_reset.log
10,0,pass,,False,False,B1,1773613691.7826877,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session10_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session10_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session10.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session10_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_qca_int_resetbatch10x_hold120_gap60_rerun2_20260316_032405_session10_reset.log
