session_index,returncode,runtime_s,result,summary_file,runner_file,plc_log,can_log
1,1,240.006,fail,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session01_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session01_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session01.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session01_can.log
2,1,255.006,fail,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session02_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session02_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session02.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session02_can.log
3,1,255.007,fail,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session03_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session03_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session03.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session03_can.log
4,1,255.008,fail,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session04_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session04_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session04.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session04_can.log
5,1,255.005,fail,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session05_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session05_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session05.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session05_can.log
6,1,240.005,fail,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session06_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session06_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session06.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session06_can.log
7,1,240.007,fail,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session07_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session07_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session07.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session07_can.log
8,1,255.006,fail,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session08_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session08_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session08.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session08_can.log
9,1,240.006,fail,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session09_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session09_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session09.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session09_can.log
10,1,255.006,fail,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session10_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session10_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session10.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_20260317_130100_session10_can.log
