session_index,returncode,runtime_s,result,summary_file,runner_file,plc_log,can_log
1,0,165.004,pass,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session01_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session01_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session01.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session01_can.log
2,0,165.006,pass,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session02_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session02_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session02.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session02_can.log
3,0,165.004,pass,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session03_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session03_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session03.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session03_can.log
4,0,165.004,pass,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session04_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session04_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session04.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session04_can.log
5,0,165.004,pass,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session05_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session05_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session05.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session05_can.log
6,0,165.005,pass,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session06_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session06_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session06.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session06_can.log
7,0,165.003,pass,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session07_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session07_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session07.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session07_can.log
8,0,165.005,pass,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session08_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session08_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session08.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session08_can.log
9,0,165.005,pass,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session09_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session09_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session09.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session09_can.log
10,0,165.004,pass,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session10_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session10_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session10.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_serial_rerun_20260317_141143_session10_can.log
