session,rc,result,failure,slac_matched,hlc_ready,cp_phase,current_demand_ready_since,summary_file,runner_file,plc_log,can_log,reset_log
01,1,fail,timeout waiting for ack 0x1A,False,False,B,,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session01_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session01_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session01.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session01_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session01_reset.log
02,1,fail,timeout waiting for ack 0x1A,False,False,B,,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session02_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session02_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session02.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session02_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session02_reset.log
03,1,fail,timeout waiting for ack 0x1A,False,False,B,,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session03_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session03_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session03.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session03_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session03_reset.log
04,1,fail,timeout waiting for ack 0x1A,False,False,B,,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session04_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session04_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session04.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session04_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session04_reset.log
05,1,fail,timeout waiting for ack 0x11,False,False,B,,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session05_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session05_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session05.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session05_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session05_reset.log
06,1,fail,timeout waiting for ack 0x11,False,False,B,,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session06_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session06_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session06.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session06_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session06_reset.log
07,1,fail,timeout waiting for ack 0x1A,False,False,B,,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session07_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session07_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session07.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session07_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session07_reset.log
08,1,fail,timeout waiting for PLC status,False,False,B2,,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session08_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session08_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session08.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session08_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session08_reset.log
09,1,fail,timeout waiting for ack 0x1A,False,False,B,,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session09_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session09_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session09.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session09_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session09_reset.log
10,1,fail,timeout waiting for ack 0x1A,False,False,B,,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session10_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session10_runner.out,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session10.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session10_can.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap30_spiqca_20260317_195923_session10_reset.log
