index,tag,rc,timed_out,duration_s,result,matched,match_elapsed_s,session_starts,soft_retries,progress_timeouts,terminal_failures,ef_pulses,summary_slac_matched,summary_slac_failures,summary_hlc_ready,summary_cp_phase,plc_log,summary_file,runner_file
1,session01,0,False,204.581,pass,True,1.624,3,1,1,0,0,True,1,True,B,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session01.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session01_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session01_runner.out
2,session02,0,False,201.074,pass,True,1.625,2,0,1,0,0,False,2,False,B,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session02.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session02_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session02_runner.out
3,session03,0,False,148.551,pass,True,1.629,2,1,0,0,0,False,2,False,B,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session03.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session03_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session03_runner.out
4,session04,1,False,223.586,fail,False,,6,2,4,0,4,False,6,False,B1,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session04.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session04_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session04_runner.out
5,session05,0,False,204.574,pass,True,1.63,3,1,1,0,1,False,7,False,B,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session05.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session05_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session05_runner.out
6,session06,0,False,201.067,pass,True,1.69,2,0,1,0,1,False,8,False,C,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session06.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session06_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session06_runner.out
7,session07,0,False,201.076,pass,True,1.686,2,0,1,0,1,False,9,False,B,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session07.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session07_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session07_runner.out
8,session08,0,False,146.549,pass,True,1.64,1,0,0,0,0,False,9,False,B,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session08.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session08_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session08_runner.out
9,session09,0,False,146.555,pass,True,1.642,1,0,0,0,0,False,9,False,B1,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session09.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session09_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session09_runner.out
10,session10,1,False,227.076,fail,False,,11,6,3,1,4,False,13,False,B2,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session10.log,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session10_summary.json,/home/jpi/Desktop/EVSE/plc_firmware/logs/controller_single_module_10x_hold120_gap60_retest_20260315_202857_session10_runner.out
