session_index,result,returncode,runtime_s,controller_slac_start_count,plc_session_start_count,slac_progress_timeout_count,ef_pulse_count,slac_terminal_failure_count,matched,precharge_seen,current_demand_ready_seen,seconds_start_to_match,seconds_start_to_precharge,seconds_start_to_current_demand_ready
1,"pass",0,167.624,1,3,1,1,1,True,True,True,24.332,28.603,30.884
2,"pass",0,190.304,1,5,2,2,2,True,True,True,47.781,52.058,53.671
3,"pass",0,156.823,1,3,0,1,2,True,True,True,13.786,18.059,19.937
4,"fail",1,48.307,1,4,2,1,1,True,True,False,24.115,28.376,
5,"fail",1,109.028,1,2,1,1,0,True,True,True,19.393,23.662,25.747
6,"pass",0,178.986,1,5,1,2,3,True,True,True,36.101,40.376,42.253
7,"pass",0,160.291,1,2,1,0,0,True,True,True,17.367,21.637,23.719
8,"pass",0,144.806,1,1,0,0,0,True,True,True,1.991,6.267,8.215
9,"pass",0,152.533,1,2,0,1,1,True,True,True,9.823,14.09,15.969
10,"pass",0,169.425,1,3,1,1,1,True,True,True,26.492,30.764,32.642
