session,summary_exists,result,phase,events,notes,failures,current_demand_started_at,current_demand_ready_since,vehicle_stop_requested,vehicle_stop_reason,plc,module
01,True,pass,stopping,"['2026-03-18T22:59:36.641 phase=bootstrap', '2026-03-18T22:59:40.389 phase=wait_for_session', '2026-03-18T23:01:49.597 phase=stopping']",['cleanup stop-notify degraded: timeout waiting for ack 0x1A'],[],1773854989.4777555,1773854989.4777603,False,,"{'mode_id': 1, 'mode_name': 'external_controller', 'can_stack': 0, 'module_mgr': 0, 'cp_phase': 'B', 'cp_connected': True, 'cp_duty_pct': 100, 'slac_session': False, 'slac_matched': False, 'slac_fsm': 1, 'slac_failures': 0, 'hlc_ready': False, 'hlc_active': False, 'precharge_seen': False, 'precharge_ready': False, 'session_started': False, 'stop_active': False, 'stop_hard': False, 'stop_done': True, 'bms_stage_name': 'none', 'delivery_ready': False, 'target_v': 0.0, 'target_i': 0.0, 'fb_v': 0.0, 'fb_i': 0.0, 'relay1': False}","{'address': 2, 'group': 2, 'rated_current_a': 30.0, 'status': 'status=0x00400000 flags=OFF', 'voltage_v': 10.8408203125, 'current_a': 0.0, 'off': True}"
02,True,pass,stopping,"['2026-03-18T23:02:21.654 phase=bootstrap', '2026-03-18T23:02:25.443 phase=wait_for_session', '2026-03-18T23:05:24.959 phase=stopping']",[],[],1773855204.8105853,1773855204.8105872,False,,"{'mode_id': 1, 'mode_name': 'external_controller', 'can_stack': 0, 'module_mgr': 0, 'cp_phase': 'B', 'cp_connected': True, 'cp_duty_pct': 5, 'slac_session': False, 'slac_matched': False, 'slac_fsm': 8, 'slac_failures': 1, 'hlc_ready': False, 'hlc_active': False, 'precharge_seen': False, 'precharge_ready': False, 'session_started': False, 'stop_active': False, 'stop_hard': False, 'stop_done': True, 'bms_stage_name': 'none', 'delivery_ready': False, 'target_v': 0.0, 'target_i': 0.0, 'fb_v': 0.0, 'fb_i': 0.0, 'relay1': False}","{'address': 2, 'group': 2, 'rated_current_a': 30.0, 'status': 'status=0x00400000 flags=OFF', 'voltage_v': 10.783203125, 'current_a': 0.0, 'off': True}"
03,True,pass,stopping,"['2026-03-18T23:05:55.687 phase=bootstrap', '2026-03-18T23:05:59.427 phase=wait_for_session', '2026-03-18T23:09:48.588 phase=stopping']",[],[],1773855468.548658,1773855468.5486615,False,,"{'mode_id': 1, 'mode_name': 'external_controller', 'can_stack': 0, 'module_mgr': 0, 'cp_phase': 'B1', 'cp_connected': True, 'cp_duty_pct': 100, 'slac_session': False, 'slac_matched': False, 'slac_fsm': 1, 'slac_failures': 3, 'hlc_ready': False, 'hlc_active': False, 'precharge_seen': False, 'precharge_ready': False, 'session_started': True, 'stop_active': True, 'stop_hard': False, 'stop_done': False, 'bms_stage_name': 'none', 'delivery_ready': False, 'target_v': 0.0, 'target_i': 0.0, 'fb_v': 0.0, 'fb_i': 0.0, 'relay1': False}","{'address': 2, 'group': 2, 'rated_current_a': 30.0, 'status': 'status=0x00400000 flags=OFF', 'voltage_v': 10.7958984375, 'current_a': 0.0, 'off': True}"
04,True,pass,stopping,"['2026-03-18T23:10:19.481 phase=bootstrap', '2026-03-18T23:10:23.202 phase=wait_for_session', '2026-03-18T23:12:32.237 phase=stopping']",[],[],1773855632.0953927,1773855632.0953972,False,,"{'mode_id': 1, 'mode_name': 'external_controller', 'can_stack': 0, 'module_mgr': 0, 'cp_phase': 'B', 'cp_connected': True, 'cp_duty_pct': 100, 'slac_session': False, 'slac_matched': False, 'slac_fsm': 1, 'slac_failures': 3, 'hlc_ready': False, 'hlc_active': False, 'precharge_seen': False, 'precharge_ready': False, 'session_started': False, 'stop_active': False, 'stop_hard': False, 'stop_done': True, 'bms_stage_name': 'none', 'delivery_ready': False, 'target_v': 0.0, 'target_i': 0.0, 'fb_v': 0.0, 'fb_i': 0.0, 'relay1': False}","{'address': 2, 'group': 2, 'rated_current_a': 30.0, 'status': 'status=0x00400000 flags=OFF', 'voltage_v': 10.771484375, 'current_a': 0.0, 'off': True}"
05,True,pass,stopping,"['2026-03-18T23:13:03.134 phase=bootstrap', '2026-03-18T23:13:06.870 phase=wait_for_session', '2026-03-18T23:17:46.244 phase=stopping']",[],[],1773855946.0582495,1773855946.0582545,False,,"{'mode_id': 1, 'mode_name': 'external_controller', 'can_stack': 0, 'module_mgr': 0, 'cp_phase': 'B1', 'cp_connected': True, 'cp_duty_pct': 100, 'slac_session': False, 'slac_matched': False, 'slac_fsm': 1, 'slac_failures': 6, 'hlc_ready': False, 'hlc_active': False, 'precharge_seen': False, 'precharge_ready': False, 'session_started': False, 'stop_active': False, 'stop_hard': False, 'stop_done': True, 'bms_stage_name': 'none', 'delivery_ready': False, 'target_v': 0.0, 'target_i': 0.0, 'fb_v': 0.0, 'fb_i': 0.0, 'relay1': False}","{'address': 2, 'group': 2, 'rated_current_a': 30.0, 'status': 'status=0x00400000 flags=OFF', 'voltage_v': 10.8037109375, 'current_a': 0.0, 'off': True}"
06,True,pass,stopping,"['2026-03-18T23:18:17.172 phase=bootstrap', '2026-03-18T23:18:20.948 phase=wait_for_session', '2026-03-18T23:21:20.349 phase=stopping']",[],[],1773856160.1224873,1773856160.1224887,False,,"{'mode_id': 1, 'mode_name': 'external_controller', 'can_stack': 0, 'module_mgr': 0, 'cp_phase': 'B', 'cp_connected': True, 'cp_duty_pct': 5, 'slac_session': True, 'slac_matched': True, 'slac_fsm': 8, 'slac_failures': 7, 'hlc_ready': True, 'hlc_active': True, 'precharge_seen': True, 'precharge_ready': True, 'session_started': True, 'stop_active': True, 'stop_hard': False, 'stop_done': False, 'bms_stage_name': 'none', 'delivery_ready': False, 'target_v': 0.0, 'target_i': 0.0, 'fb_v': 0.0, 'fb_i': 0.0, 'relay1': False}","{'address': 2, 'group': 2, 'rated_current_a': 30.0, 'status': 'status=0x00400000 flags=OFF', 'voltage_v': 10.828125, 'current_a': 0.0, 'off': True}"
07,True,pass,stopping,"['2026-03-18T23:21:51.082 phase=bootstrap', '2026-03-18T23:21:54.799 phase=wait_for_session', '2026-03-18T23:24:03.843 phase=stopping']",[],[],1773856323.625584,1773856323.625587,False,,"{'mode_id': 1, 'mode_name': 'external_controller', 'can_stack': 0, 'module_mgr': 0, 'cp_phase': 'B1', 'cp_connected': True, 'cp_duty_pct': 100, 'slac_session': False, 'slac_matched': False, 'slac_fsm': 1, 'slac_failures': 7, 'hlc_ready': False, 'hlc_active': False, 'precharge_seen': False, 'precharge_ready': False, 'session_started': False, 'stop_active': False, 'stop_hard': False, 'stop_done': True, 'bms_stage_name': 'none', 'delivery_ready': False, 'target_v': 0.0, 'target_i': 0.0, 'fb_v': 0.0, 'fb_i': 0.0, 'relay1': False}","{'address': 2, 'group': 2, 'rated_current_a': 30.0, 'status': 'status=0x00400000 flags=OFF', 'voltage_v': 10.853515625, 'current_a': 0.0, 'off': True}"
08,True,pass,stopping,"['2026-03-18T23:24:34.778 phase=bootstrap', '2026-03-18T23:24:38.678 phase=wait_for_session', '2026-03-18T23:26:47.690 phase=stopping']",[],[],1773856487.487741,1773856487.4877453,False,,"{'mode_id': 1, 'mode_name': 'external_controller', 'can_stack': 0, 'module_mgr': 0, 'cp_phase': 'B', 'cp_connected': True, 'cp_duty_pct': 100, 'slac_session': False, 'slac_matched': False, 'slac_fsm': 8, 'slac_failures': 7, 'hlc_ready': False, 'hlc_active': False, 'precharge_seen': False, 'precharge_ready': False, 'session_started': False, 'stop_active': False, 'stop_hard': False, 'stop_done': True, 'bms_stage_name': 'none', 'delivery_ready': False, 'target_v': 0.0, 'target_i': 0.0, 'fb_v': 0.0, 'fb_i': 0.0, 'relay1': False}","{'address': 2, 'group': 2, 'rated_current_a': 30.0, 'status': 'status=0x00400000 flags=OFF', 'voltage_v': 10.8564453125, 'current_a': 0.0, 'off': True}"
09,True,pass,stopping,"['2026-03-18T23:27:18.456 phase=bootstrap', '2026-03-18T23:27:22.229 phase=wait_for_session', '2026-03-18T23:30:21.438 phase=stopping']",[],[],1773856701.3055978,1773856701.3056018,False,,"{'mode_id': 1, 'mode_name': 'external_controller', 'can_stack': 0, 'module_mgr': 0, 'cp_phase': 'B', 'cp_connected': True, 'cp_duty_pct': 100, 'slac_session': False, 'slac_matched': False, 'slac_fsm': 1, 'slac_failures': 8, 'hlc_ready': False, 'hlc_active': False, 'precharge_seen': False, 'precharge_ready': False, 'session_started': False, 'stop_active': False, 'stop_hard': False, 'stop_done': True, 'bms_stage_name': 'none', 'delivery_ready': False, 'target_v': 0.0, 'target_i': 0.0, 'fb_v': 0.0, 'fb_i': 0.0, 'relay1': False}","{'address': 2, 'group': 2, 'rated_current_a': 30.0, 'status': 'status=0x00400000 flags=OFF', 'voltage_v': 10.767578125, 'current_a': 0.0, 'off': True}"
10,True,pass,stopping,"['2026-03-18T23:30:52.398 phase=bootstrap', '2026-03-18T23:30:56.116 phase=wait_for_session', '2026-03-18T23:34:45.117 phase=stopping']",[],[],1773856964.965256,1773856964.96526,False,,"{'mode_id': 1, 'mode_name': 'external_controller', 'can_stack': 0, 'module_mgr': 0, 'cp_phase': 'B', 'cp_connected': True, 'cp_duty_pct': 5, 'slac_session': False, 'slac_matched': False, 'slac_fsm': 8, 'slac_failures': 10, 'hlc_ready': False, 'hlc_active': False, 'precharge_seen': False, 'precharge_ready': False, 'session_started': False, 'stop_active': False, 'stop_hard': False, 'stop_done': True, 'bms_stage_name': 'none', 'delivery_ready': False, 'target_v': 0.0, 'target_i': 0.0, 'fb_v': 0.0, 'fb_i': 0.0, 'relay1': False}","{'address': 2, 'group': 2, 'rated_current_a': 30.0, 'status': 'status=0x00400000 flags=OFF', 'voltage_v': 10.767578125, 'current_a': 0.0, 'off': True}"
