
=== SERIAL CONNECT /dev/ttyACM0 115200 @ 2026-03-06T10:38:51 ===
[2026-03-06T10:38:55.827] (+4.006s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:39:01.333] (+9.512s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:39:06.339] (+14.518s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:39:10.846] (+19.025s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:39:15.851] (+24.031s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:39:20.857] (+29.036s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:39:25.863] (+34.042s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:39:30.868] (+39.047s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:39:35.875] (+44.054s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:39:40.881] (+49.060s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:39:46.387] (+54.566s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:39:51.393] (+59.572s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:39:56.399] (+64.578s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:40:01.405] (+69.584s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:40:06.411] (+74.590s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:40:11.417] (+79.597s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:40:16.424] (+84.603s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:40:21.430] (+89.609s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:40:26.436] (+94.615s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:40:31.442] (+99.621s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:40:36.447] (+104.627s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:40:41.453] (+109.633s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:40:46.459] (+114.639s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:40:51.466] (+119.645s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:40:56.471] (+124.650s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:41:01.477] (+129.656s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:41:06.483] (+134.662s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:41:11.489] (+139.668s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:41:16.505] (+144.684s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:41:21.511] (+149.690s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:41:26.517] (+154.696s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:41:31.534] (+159.713s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:41:36.549] (+164.728s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:41:41.065] (+169.244s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:41:46.572] (+174.752s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:41:51.579] (+179.758s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:41:56.584] (+184.763s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:42:01.590] (+189.769s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:42:06.596] (+194.775s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:42:11.602] (+199.781s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:42:16.608] (+204.787s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:42:21.614] (+209.793s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:42:26.620] (+214.799s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:42:31.626] (+219.805s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:42:36.632] (+224.811s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:42:41.648] (+229.827s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:42:46.663] (+234.842s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:42:51.669] (+239.848s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:42:56.675] (+244.854s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:43:01.681] (+249.860s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:43:06.687] (+254.866s) [HLC] waiting for EVCC TCP client...
[2026-03-06T10:43:11.692] (+259.871s) [HLC] waiting for EVCC TCP client...
