
=== SERIAL CONNECT /dev/ttyACM0 115200 @ 2026-03-06T03:12:44 ===
[2026-03-06T03:12:47.021] (+2.504s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:12:52.028] (+7.510s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:12:57.034] (+12.516s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:13:02.040] (+17.522s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:13:07.045] (+22.528s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:13:12.051] (+27.533s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:13:17.057] (+32.540s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:13:22.062] (+37.545s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:13:27.068] (+42.550s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:13:32.083] (+47.566s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:13:37.099] (+52.581s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:13:42.105] (+57.587s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:13:47.110] (+62.593s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:13:52.116] (+67.598s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:13:57.121] (+72.604s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:14:02.127] (+77.610s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:14:07.133] (+82.615s) [HLC] waiting for EVCC TCP client...
[2026-03-06T03:14:12.137] (+87.620s) [HLC] waiting for EVCC TCP client...
