session,result,failure,reset_to_run_start_s,reset_to_slac_start_s,reset_to_slac_match_s,reset_to_precharge_s,reset_to_relay_close_s,reset_to_delivery_s,reset_to_current_demand_s,reset_to_charge_ready_s,hold_until_stop_s,stop_to_relay_open_s,stop_to_hlc_done_s,max_present_v,max_present_i,qca_reprime_events,matching_failed_events,slac_failure_events,slac_init_timeout_events,overrun_events
01,pass,,3.421,14.054,15.761,30.203,30.203,31.106,31.207,31.307,120.087,0.101,0.101,500.5,41.35,1,0,0,0,0
02,pass,,3.424,14.058,15.766,19.177,19.177,20.081,20.182,20.282,120.002,0.101,0.101,500.5,40.95,1,0,0,0,0
03,pass,,3.423,14.054,118.269,121.579,121.68,122.483,122.683,122.683,120.089,-188.592,0.101,500.5,41.2,3,0,0,4,0
04,pass,,3.424,14.066,15.773,30.114,30.114,31.018,31.218,31.218,120.032,0.101,0.101,500.4,40.95,1,0,0,0,0
05,pass,,3.419,14.061,217.011,220.422,220.422,221.325,221.425,221.526,120.098,-287.54,0.101,500.5,41.38,5,0,0,8,0
06,pass,,3.422,14.055,15.564,30.61,30.71,31.514,31.714,31.815,120.083,0.101,0.101,500.5,41.0,1,0,0,0,0
07,pass,,3.422,14.052,20.673,24.084,24.084,24.987,25.087,25.088,120.084,0.101,0.101,500.5,40.85,1,0,0,0,0
08,pass,,3.42,14.052,15.758,30.403,30.403,31.306,31.506,31.507,120.058,0.101,0.101,500.5,40.82,1,0,0,0,0
09,pass,,3.46,14.092,15.798,19.109,19.109,20.012,20.213,20.213,120.092,0.101,0.101,500.5,40.8,1,0,0,0,0
10,pass,,3.421,14.055,66.001,69.412,69.512,70.315,70.516,70.516,120.004,-136.456,0.102,500.7,41.0,2,0,0,2,0
